Nombre_Empresa,Monto_Credito,Divisa,Operacion,Fecha_Inicio,Fecha_Fin,Plazo
alsea,6491306.7,MXN,OP-917808,"January 12, 2021",N/A,N/A
LIVERPOOL,9910268.33,USD,OP-352758,24-Aug-2020,N/A,N/A
SORIANA,5742369.36,MXN,OP-127488,"September 24, 2018","October 30, 2019",401
grupo bimbo,2979588.9,EUR,OP-464174,13-Oct-2019,N/A,N/A
cemex,1882163.23,MXN,OP-455017,12/08/2021,N/A,N/A
grupo lala,7114606.04,EUR,OP-946459,05-Jun-2018,2020-06-03,729
grupo bimbo,6849130.11,USD,OP-305190,18/11/2021,N/A,N/A
GRUPO CARSO,3362270.98,MXN,OP-442824,"October 15, 2015",N/A,N/A
PEMEX,6816806.53,MXN,OP-382283,09/03/2020,N/A,N/A
américa móvil,6454554.68,USD,OP-153202,29/10/2024,N/A,N/A
FEMSA,8600497.33,MXN,OP-258010,"March 11, 2018",03-Jun-2024,2276
pemex,446043.29,USD,OP-381405,21-Sep-2020,27-Oct-2022,766
GRUPO MÉXICO,1764724.73,MXN,OP-612668,2020-02-11,N/A,N/A
GRUPO MÉXICO,7679304.06,EUR,OP-437566,"August 03, 2018",N/A,N/A
grupo carso,745275.87,MXN,OP-616316,2024-09-19,N/A,N/A
américa móvil,1306910.96,USD,OP-183602,"January 10, 2024",N/A,N/A
grupo méxico,7821905.12,USD,OP-426593,02-Sep-2015,2017-09-13,742
SORIANA,5646698.53,MXN,OP-776836,26/12/2018,N/A,N/A
GRUPO LALA,4941305.28,MXN,OP-951442,05-Jan-2024,N/A,N/A
GRUPO MÉXICO,6366594.76,USD,OP-434344,2022-05-15,N/A,N/A
SORIANA,749501.69,EUR,OP-717986,19/01/2021,N/A,N/A
GRUPO LALA,5206497.38,EUR,OP-539164,2021-05-05,"November 23, 2021",202
PEMEX,1616454.18,MXN,OP-438407,13-Jun-2021,06/07/2023,724
walmart de méxico,3853213.75,EUR,OP-212329,07/11/2018,N/A,N/A
TELMEX,4980042.51,MXN,OP-897239,"October 07, 2020",N/A,N/A
GRUPO BIMBO,4234431.08,MXN,OP-126709,28/10/2020,N/A,N/A
pemex,4108470.43,EUR,OP-296269,"December 09, 2017",2019-04-09,486
GRUPO CARSO,6888589.31,EUR,OP-239333,2018-05-13,N/A,N/A
SORIANA,9024275.57,USD,OP-675490,2017-04-06,17/01/2024,2477
femsa,350227.49,USD,OP-453099,23/03/2019,2019-04-01,9
grupo bimbo,8801921.67,USD,OP-928309,"September 26, 2020",N/A,N/A
GRUPO BIMBO,3644797.76,EUR,OP-717057,11-Jun-2016,N/A,N/A
GRUPO LALA,8253361.37,EUR,OP-947595,20-Feb-2023,2025-06-07,838
alsea,3046816.91,USD,OP-326508,"November 15, 2023",N/A,N/A
grupo carso,4257292.54,EUR,OP-178968,"January 09, 2019",N/A,N/A
grupo méxico,9495824.63,USD,OP-713767,2018-10-19,16-Nov-2022,1489
