Nombre_Empresa,Monto_Credito,Divisa,Operacion,Fecha_Inicio,Fecha_Fin,Plazo
SORIANA,2412008.9,EUR,OP-308581,2021-10-07,2022-11-21,410
GRUPO LALA,6630202.55,EUR,OP-597073,07/09/2019,N/A,N/A
ALSEA,2097966.49,MXN,OP-999755,"June 19, 2025",N/A,N/A
femsa,5420418.95,USD,OP-495577,2016-07-31,26/02/2025,3132
FEMSA,4770483.87,MXN,OP-805665,16/08/2022,N/A,N/A
AMÉRICA MÓVIL,5270804.43,MXN,OP-894950,20-Oct-2019,12/08/2024,1876
grupo lala,8015864.57,EUR,OP-886633,28-Oct-2019,N/A,N/A
BBVA MÉXICO,9945977.1,EUR,OP-145963,"October 16, 2024",N/A,N/A
liverpool,504339.51,EUR,OP-641245,"November 07, 2016","November 02, 2017",360
grupo bimbo,3070166.75,USD,OP-598436,26-Nov-2017,N/A,N/A
FEMSA,247063.36,EUR,OP-316758,02-Oct-2021,"December 18, 2023",807
CEMEX,1834508.93,EUR,OP-864592,"March 12, 2016",17-Apr-2017,401
grupo bimbo,5804160.87,USD,OP-912011,04-Sep-2016,N/A,N/A
CEMEX,909020.16,MXN,OP-883834,13/04/2022,N/A,N/A
FEMSA,9997949.34,MXN,OP-531910,25/07/2022,N/A,N/A
walmart de méxico,4473038.89,EUR,OP-689727,03-Feb-2016,20/01/2019,1082
LIVERPOOL,1233979.27,MXN,OP-983020,"March 09, 2018",N/A,N/A
GRUPO MÉXICO,8062790.35,EUR,OP-223325,"June 24, 2024",N/A,N/A
FEMSA,992715.98,EUR,OP-559249,"March 13, 2017","December 05, 2020",1363
TELMEX,7522227.77,USD,OP-520888,2017-09-15,N/A,N/A
BBVA MÉXICO,9264789.94,MXN,OP-370015,"May 08, 2020","March 17, 2021",313
TELMEX,9422104.2,EUR,OP-107673,18-Mar-2025,N/A,N/A
pemex,6431078.49,MXN,OP-874110,15/02/2022,N/A,N/A
CEMEX,6224169.42,USD,OP-140094,"April 09, 2020","August 23, 2021",501
liverpool,2722449.96,MXN,OP-103570,08/11/2021,N/A,N/A
CEMEX,5630962.52,EUR,OP-470712,2023-04-04,N/A,N/A
GRUPO MÉXICO,4316315.38,MXN,OP-314610,21/12/2024,N/A,N/A
soriana,5907859.17,MXN,OP-651483,2022-07-24,N/A,N/A
liverpool,699056.48,USD,OP-655198,2021-06-13,"May 04, 2022",325
walmart de méxico,9169292.18,USD,OP-291432,26-Jan-2024,N/A,N/A
ALSEA,2479187.48,MXN,OP-817599,02-May-2022,30-Jul-2022,89
ALSEA,7739386.09,EUR,OP-105618,2021-08-06,N/A,N/A
LIVERPOOL,7883940.82,USD,OP-458453,"January 17, 2017",2019-03-12,784
LIVERPOOL,8391502.88,EUR,OP-747470,"March 10, 2018","March 29, 2019",384
cemex,1135079.04,EUR,OP-488562,2016-07-21,N/A,N/A
cemex,4670947.65,MXN,OP-613975,"October 26, 2022",N/A,N/A
walmart de méxico,103795.25,MXN,OP-832730,2016-02-25,14/06/2024,3032
GRUPO MÉXICO,3378933.74,USD,OP-235820,2018-08-24,N/A,N/A
GRUPO BIMBO,4044335.57,USD,OP-905691,"January 12, 2019",N/A,N/A
alsea,6048375.83,USD,OP-806422,2020-10-20,N/A,N/A
américa móvil,8244599.64,MXN,OP-377547,2020-03-22,09-Mar-2022,717
FEMSA,5034519.79,USD,OP-113482,"January 02, 2021",2021-10-26,297
bbva méxico,738468.6,EUR,OP-375593,2025-08-15,N/A,N/A
liverpool,1211476.71,USD,OP-401528,"December 17, 2021",N/A,N/A
pemex,3058495.82,MXN,OP-309001,08-Nov-2022,N/A,N/A
GRUPO MÉXICO,4958935.24,EUR,OP-977751,16-Oct-2016,"July 29, 2023",2477
TELMEX,9513750.11,MXN,OP-893107,04/02/2023,16/06/2024,441
GRUPO BIMBO,7012021.88,USD,OP-366010,2022-01-24,N/A,N/A
AMÉRICA MÓVIL,2484872.88,USD,OP-139238,25/11/2017,04/07/2023,1959
bbva méxico,9460767.32,EUR,OP-366555,18/11/2019,N/A,N/A
soriana,7747400.35,USD,OP-178043,2020-07-07,N/A,N/A
WALMART DE MÉXICO,8618594.8,USD,OP-523332,2019-08-05,31/03/2020,239
américa móvil,4097748.01,EUR,OP-943189,30/09/2022,N/A,N/A
